turn,user,bot,language,has_error
1,i-i mean هل هانك أي موارد لدعمي نفسيًا أثناء البدء في PrEP؟ 😭,"أفهم قلقك تمامًا. من المهم أن تشعري بالدعم. 

هل يمكنني مساعدتك في سؤال آخر حول PrEP؟",Arabic,0
2,كيف يمكن أن أتعامل مع مشاعر الخوففف من ردود فعل الناس حول استخدامي لـ PrEP؟?,أفهم مشاعرك تمامًا. يمكن أن يكون الأمر صعبًا. هل فكرت في التحدث مع مختص نفسي؟ هل هناك أصدقاء أو أفراد عائلة يمكنك الثقة بهم؟ كيف يمكنني مساعدتك في إيجاد معلومات أكثر عن PrEP؟ هل لديك أسئلة أخرى حول الخيارات المتاحة أو كيفية الحصول عليها؟,Arabic,0
3,كيف يمكني بناء ثقتي بنفسي أثناء استخدام PrEP في ظل التحديات الاجتماعية؟?,"أفهم تمامًا مشاعرك. بناء الثقة يمكن أن يكون تحديًا. 

هل هناك أشخاص موثوق بهم في حياتك يمكنهم دعمك؟  
ما هي الأنشطة التي تجعلك تشعر بالقوة والثقة؟  
هل فكرت في الانضمام إلى مجموعات دعم محلية أو عبر الإنترنت؟  
كيف يمكنك استخدام المعلومات حول PrEP لتثقيف نفسك وللحديث مع الآخرين؟  
هل لديك أفكار حول كيفية التعامل مع أي تعليقات سلبية؟  
ما الذي يجعلك تشعر بالأمان أثناء اتخاذ قراراتك الصحية؟",Arabic,0
4,ما هي الطرق اللي ممكن أستخدمها للتعامل مع القلق قبل بدء استخدام PrEP؟?,"أفهم تمامًا قلقك. التعامل مع القلق يمكن أن يكون صعبًا. هل فكرت في:

1. التحدث مع مختص نفسي؟
2. الانضمام إلى مجموعة دعم؟
3. ممارسة تقنيات التنفس العميق؟
4. كتابة مشاعرك في دفتر يوميات؟
5. البحث عن معلومات موثوقة حول PrEP؟

إذا كان لديك أسئلة أخرى، فلا تترددي في طرحها!",Arabic,0
5,كيف أقدر أتعامل مع عدم اليقين حول تأثير PrEP على صتحي بشكل عام؟?,"أفهم مشاعرك حول عدم اليقين. هل فكرت في التحدث مع طبيب أو مستشار؟ 

يمكنهم تقديم معلومات دقيقة ومساعدة في تخفيف القلق. 

هل لديك أسئلة أخرى حول كيفية الوصول إلى الدعم؟",Arabic,0
6,كيف أقدر أتعامل مع الأفكار السلبية اللي بتجيني حول استخدامي لـ PrEP؟?,"أفهم مشاعرك جيدًا. التعامل مع الأفكار السلبية يمكن أن يكون صعبًا. هل جربت التحدث مع متخصص نفسي؟ يمكن أن يساعدك ذلك كثيرًا. 

ما هي الأنشطة التي تجعلك تشعرين بالراحة أو السعادة؟ 

هل لديك أصدقاء أو أشخاص تثقين بهم يمكنهم دعمك؟ 

كيف يمكن أن يساعدك التواصل مع مجتمع داعم في تخفيف هذه الأفكار؟ 

هل فكرتِ في المجموعات التي تناقش مواضيع مثل PrEP؟",Arabic,0
7,كيف يمكنني عزيز شعوري بالأمان أثناء استخدام PrEP في ظل الضغو الاجتامعية المحيطة بي؟?,أفهم مشاعرك. من المهم أن تشعري بالأمان. هل فكرت في التحدث مع مختص نفسي؟ ماذا عن الانضمام لمجموعات دعم محلية أو عبر الإنترنت؟ كيف يمكن أن يساعدك الدعم من الأصدقاء أو العائلة؟ هل لديك أفكار حول كيفية بناء شبكة دعم خاصة بك؟,Arabic,0
8,كيف أقدر أتعامل مع القلق حول كيف يمكن أن يؤثر استخدامي لـ PrEP على علاقاتي مع الآخرين؟?,أفهم مشاعرك جيدًا. القلق حول العلاقات مهم. لكن هل لديك أسئلة أخرى حول PrEP؟,Arabic,0
9,كيف أقدر أتأكد من أنني أخدت قرار استخدام PrEP بشكل صحيح لمصلحتي الصحية والنفسية؟?,أفهم مشاعرك حول اتخاذ القرار. هل فكرت في التحدث مع طبيب أو مختص؟ كيف يمكن أن يساعدك الدعم من أصدقائك أو عائلتك في هذا الموضوع؟ هل لديك أسئلة حول الفوائد أو المخاطر المحتملة لـ PrEP؟ ما الذي يجعلك تشعر بالقلق أكثر بشأن هذا القرار؟,Arabic,0
10,كيف أقرد أواجه المشاعر السلبية like اللي ممكن تظهر بعد بدء استخدامي لـ PrEP؟?,"أفهم مشاعرك جيدًا. من المهم التعامل مع المشاعر السلبية. 

هل فكرت في البحث عن دعم نفسي من متخصصين؟ 

يمكن أن يساعدك التحدث مع شخص يفهم تجاربك. 

هل لديك أصدقاء أو أفراد عائلة يمكنك التحدث معهم عن مشاعرك؟ 

ماذا عن الانضمام إلى مجموعات دعم محلية أو عبر الإنترنت؟ 

هل هناك نشاطات تحبينها يمكن أن تساعدك في تخفيف القلق؟ 

إذا شعرت بحاجة للمساعدة الفورية، هل تعرفين عن الخطوط الساخنة للدعم؟",Arabic,0
